V1,V2,V3,File,ROTATE_0
LABELS,56.5616264343,Savanna,IMG_0293.JPG,
LABELS,99.0477218628,Animal,IMG_0294.JPG,
LABELS,99.0477218628,Elephant,IMG_0294.JPG,
LABELS,99.0477218628,Mammal,IMG_0294.JPG,
LABELS,64.2816162109,Grassland,IMG_0294.JPG,
LABELS,64.2816162109,Outdoors,IMG_0294.JPG,
LABELS,64.2816162109,Savanna,IMG_0294.JPG,
LABELS,68.4101715088,Alps,IMG_0302.JPG,
LABELS,68.4101715088,Crest,IMG_0302.JPG,
LABELS,68.4101715088,Mountain,IMG_0302.JPG,
LABELS,68.4101715088,Peak,IMG_0302.JPG,
LABELS,50.9779319763,Field,IMG_0302.JPG,
LABELS,50.9779319763,Grass,IMG_0302.JPG,
LABELS,50.9779319763,Grassland,IMG_0302.JPG,
LABELS,50.9779319763,Plant,IMG_0302.JPG,
LABELS,50.7530632019,Dirt Road,IMG_0302.JPG,
LABELS,50.7530632019,Gravel,IMG_0302.JPG,
LABELS,50.7530632019,Road,IMG_0302.JPG,
LABELS,66.9679260254,Alps,IMG_0303.JPG,
LABELS,66.9679260254,Crest,IMG_0303.JPG,
LABELS,66.9679260254,Mountain,IMG_0303.JPG,
LABELS,66.9679260254,Peak,IMG_0303.JPG,
LABELS,54.4718742371,Cloud,IMG_0303.JPG,
LABELS,54.4718742371,Cumulus,IMG_0303.JPG,
LABELS,54.4718742371,Sky,IMG_0303.JPG,
LABELS,65.0289993286,Countryside,KEN-001-D0001-I000006.jpeg,
LABELS,65.0289993286,Outdoors,KEN-001-D0001-I000006.jpeg,
LABELS,56.8808441162,Farm,KEN-001-D0001-I000006.jpeg,
LABELS,56.8808441162,Field,KEN-001-D0001-I000006.jpeg,
LABELS,50.9570045471,Bush,KEN-001-D0001-I000006.jpeg,
LABELS,50.9570045471,Plant,KEN-001-D0001-I000006.jpeg,
LABELS,50.9570045471,Vegetation,KEN-001-D0001-I000006.jpeg,
LABELS,50.9326171875,Blossom,KEN-001-D0001-I000006.jpeg,
LABELS,50.9326171875,Flora,KEN-001-D0001-I000006.jpeg,
LABELS,50.9326171875,Flower,KEN-001-D0001-I000006.jpeg,
LABELS,50.791595459,Silhouette,KEN-001-D0001-I000006.jpeg,
LABELS,50.5597991943,Soil,KEN-001-D0001-I000006.jpeg,
LABELS,71.4689483643,Countryside,KEN-001-D0001-I000007.jpeg,
LABELS,71.4689483643,Field,KEN-001-D0001-I000007.jpeg,
LABELS,71.4689483643,Grass,KEN-001-D0001-I000007.jpeg,
LABELS,71.4689483643,Grassland,KEN-001-D0001-I000007.jpeg,
LABELS,71.4689483643,Outdoors,KEN-001-D0001-I000007.jpeg,
LABELS,64.7076416016,Savanna,KEN-001-D0001-I000007.jpeg,
LABELS,57.7219352722,Bush,KEN-001-D0001-I000007.jpeg,
LABELS,57.7219352722,Plant,KEN-001-D0001-I000007.jpeg,
LABELS,57.7219352722,Vegetation,KEN-001-D0001-I000007.jpeg,
LABELS,53.2466545105,Cap,KEN-001-D0001-I000007.jpeg,
LABELS,53.2466545105,Hat,KEN-001-D0001-I000007.jpeg,
LABELS,53.2466545105,Sun Hat,KEN-001-D0001-I000007.jpeg,
LABELS,50.5909805298,Blossom,KEN-001-D0001-I000007.jpeg,
LABELS,50.5909805298,Flora,KEN-001-D0001-I000007.jpeg,
LABELS,50.5909805298,Flower,KEN-001-D0001-I000007.jpeg,
LABELS,95.8380889893,Animal,KEN-007-D0001-I000001.jpeg,
LABELS,95.8380889893,Deer,KEN-007-D0001-I000001.jpeg,
LABELS,95.8380889893,Mammal,KEN-007-D0001-I000001.jpeg,
LABELS,95.8380889893,Wildlife,KEN-007-D0001-I000001.jpeg,
LABELS,84.0629043579,Antelope,KEN-007-D0001-I000001.jpeg,
LABELS,84.0629043579,Gazelle,KEN-007-D0001-I000001.jpeg,
LABELS,84.0629043579,Impala,KEN-007-D0001-I000001.jpeg,
LABELS,50.9567375183,Outdoors,KEN-007-D0001-I000001.jpeg,
LABELS,94.2905044556,Animal,KEN-007-D0001-I000002.jpeg,
LABELS,94.2905044556,Antelope,KEN-007-D0001-I000002.jpeg,
LABELS,94.2905044556,Gazelle,KEN-007-D0001-I000002.jpeg,
LABELS,94.2905044556,Impala,KEN-007-D0001-I000002.jpeg,
LABELS,58.5999259949,Mammal,KEN-007-D0001-I000002.jpeg,
LABELS,52.2899093628,Outdoors,KEN-007-D0001-I000002.jpeg,
LABELS,51.7288131714,Deer,KEN-007-D0001-I000002.jpeg,
LABELS,51.7288131714,Wildlife,KEN-007-D0001-I000002.jpeg,
LABELS,50.9349212646,Countryside,KEN-007-D0001-I000002.jpeg,
LABELS,66.9574966431,Animal,KEN-007-D0001-I000003.jpeg,
LABELS,66.9574966431,Antelope,KEN-007-D0001-I000003.jpeg,
LABELS,66.9574966431,Gazelle,KEN-007-D0001-I000003.jpeg,
LABELS,66.9574966431,Impala,KEN-007-D0001-I000003.jpeg,
LABELS,66.8640060425,Canine,KEN-007-D0001-I000003.jpeg,
LABELS,66.8640060425,Coyote,KEN-007-D0001-I000003.jpeg,
LABELS,66.8640060425,Grey Fox,KEN-007-D0001-I000003.jpeg,
LABELS,66.8640060425,Mammal,KEN-007-D0001-I000003.jpeg,
